i,j,corr
2,41,0.015385927929268075
2,42,0.06632797265289499
2,43,-0.24171717324704878
2,44,-0.06680216048955798
2,45,-0.058122378324333125
2,46,0.12408818791603177
2,47,-0.027821347426058737
2,48,-0.03835359993562788
2,49,0.016430884052780863
2,50,0.027206498987068506
2,51,-0.06790136066562426
2,52,-0.047069046503090996
2,53,-0.04532136550700866
2,54,-0.0013160801132572736
2,55,-0.03917327086179445
2,56,0.12721305551239664
2,57,-0.10453708463642422
2,58,-0.07039478178212757
2,59,0.21836274376761985
2,60,0.18045736185505312
2,61,0.11632450848596776
2,62,-0.21693050148528858
2,63,0.10417475054190527
3,4,0.023433915078072045
3,5,0.09551540926928341
3,6,-0.12924447170400713
3,7,0.15214383512572596
3,8,-0.008244283149144395
3,9,-0.11754093028309727
3,10,-0.04280893922165637
3,11,0.028076495587284644
3,12,-0.033621596119165674
3,13,0.014111936054027845
3,14,-0.06450808417028119
3,15,0.07986006635232815
3,16,-0.016884372267297585
3,17,-0.020645064779141985
3,18,0.01289797041014163
3,19,-0.06474396728327755
3,20,-0.0015170118445000389
3,21,0.02114931720723159
3,22,-0.08025132476444417
3,23,0.17294388132763494
3,24,-0.04962192018697633
3,25,0.21425753669840852
3,26,-0.0057718675835302475
3,27,0.014115512134950717
3,28,0.07396233923129548
3,29,0.012729951086944653
3,30,-0.04113647851667233
3,31,-0.05690988442112481
3,32,-0.13467742830137858
3,33,-0.09289474995984376
3,34,-0.015751986684479854
3,35,-0.09712305612153853
3,36,-0.0620548753243988
3,37,0.012409576406163997
3,38,-0.11305652818794427
3,39,-0.007982355231454599
3,40,0.04489431329899067
3,41,-0.09113866681727213
3,42,-0.07742957142725293
3,43,-0.0675183149022848
3,44,0.03000384533267614
3,45,-0.13057853379730158
3,46,0.04258811736248514
3,47,0.20605706551974864
3,48,0.11282292481804963
3,49,0.060047992168873875
3,50,0.012117110259325908
3,51,0.030326261330139426
3,52,-0.07897055138693854
3,53,0.08476756731326254
3,54,-0.09301169188495371
3,55,0.006708012630198123
3,56,-0.038950238029899775
3,57,-0.010643027518209398
3,58,0.0035730545868379883
3,59,-0.010976197729867467
3,60,0.09641830355934627
3,61,-0.024098705761127635
3,62,0.027573772234632223
3,63,0.06837380859407587
4,5,0.0032440731980711303
4,6,0.0103478705427128
4,7,-0.045158666989161024
4,8,0.1007235380204631
4,9,0.1355671184810773
4,10,-0.11517079136431575
4,11,-0.08628922777237165
4,12,-0.03508105356612987
4,13,-0.06768577674692008
4,14,-0.035477041290138386
4,15,0.0306155354183919
4,16,0.0425607344130715
4,17,0.09172385170122503
4,18,0.1339696160116342
4,19,-0.023418838798771525
4,20,0.016171827350413604
4,21,0.06750839018482459
4,22,-0.025418727426703935
4,23,0.09449134551124441
4,24,-0.001264747186855014
4,25,-0.05504136691686025
4,26,0.02647968535811756
4,27,0.26547283250424597
4,28,-0.02417858619702105
4,29,0.015315352505575842
4,30,0.04179984464905326
4,31,0.028506576669168466
4,32,-0.04125075110522334
4,33,-0.03211888187434749
4,34,-0.028286586497568066
4,35,-0.06563218600868284
4,36,0.07299356045475307
4,37,0.009297710348181967
4,38,0.03724904364042131
4,39,-0.0003080751923002865
4,40,0.04689312115628658
4,41,0.025364561852924516
4,42,-0.021358837318126628
4,43,-0.0007716473575150258
4,44,0.018966375723533824
4,45,-0.05836501174322172
4,46,0.017005566721130974
4,47,-0.0004347976486014428
4,48,-0.11316083427561056
4,49,0.17082357263942
4,50,0.15486283508301196
4,51,0.005895553009004306
4,52,0.09847789278690477
4,53,-0.0033973770220633442
4,54,-0.07221787834534121
4,55,0.01242108802198133
4,56,-0.03161351849552277
4,57,0.19232277854680577
4,58,0.09201157158526421
4,59,-0.1554114588571757
4,60,-0.0226659618834035
4,61,-0.12957663654838042
4,62,-0.04880274708791905
4,63,-0.07346958429878456
5,6,0.05422320416525784
5,7,-0.06966740406895398
5,8,-0.019595890453762258
5,9,-0.07701513919660617
5,10,-0.10462599022621324
5,11,0.14556574129925035
5,12,-0.010114173295676796
5,13,0.0381505292568576
5,14,0.07057578908968855
5,15,-0.03928885673980424
5,16,0.07724214494142527
5,17,0.15123442229802345
5,18,-0.06309295511852629
5,19,0.04317262552141214
5,20,0.10069577766911326
5,21,-0.11097228040679391
5,22,0.08149780705433357
5,23,-0.004394404632995861
5,24,-0.0021873858096217156
5,25,-0.03703623242483995
5,26,-0.03667894495767233
5,27,0.187341735042887
5,28,-0.03400020161682814
5,29,0.07173599745357097
5,30,-0.04514018744569574
5,31,-0.08030032394902992
5,32,0.0039951652411310355
5,33,0.010788197620183543
5,34,-0.013306763109546323
5,35,0.002673616067895488
5,36,0.055921979164649326
5,37,-0.0762176975598121
5,38,0.03199645579855322
5,39,0.012257162007521064
5,40,0.011276192816456998
5,41,0.09113123525379863
